text,label
মোশাররফ করিমের সব খোর নাটক গুলাই বাজে,0.0
ঈদের সেরা নাটক আমার দেখা অনেক ভালো লাগলো নাটকটা নিজের অজান্তেই চোখে জল চলে এলো,1.0
নাটক এর শুরু  টা ভালো ছিলো   শেষ  টা   কস্টের   ভালো ছিলো অনেক,1.0
বালের নাটক,0.0
ছেলে মেয়ে নষ্ট হওয়ার মত একটা নাটক,0.0
কপি করা জিনিস ছাড়া নতুন কিছু হলে ভালো হতোএডিটিং গান সব ভালো ছিল,1.0
অস্থির এক কথায় অসাধারণ হইছে,0.0
অনেক ভাল,1.0
হিজাবও পরবা নামাজও পডবা তজবিও জপবা সাথে অবৈধ প্রেমও চালিয়ে যাবা আহা কি সুন্দর  মনে রেখো মুসল্মান পাপকে পাপ না মনে করাও একটা পাপ,0.0
আচ্ছা এই ভাবে ছাউন্ট বন্ধ হইলে ভালো লাগে,0.0
আমাদের দেশের নাটক গুলো ভালো আর ও ভালো লাগবে নাটকে শুদ্ধ  ভাষা প্রয়োগ করলেমিশ্র ভাষা ভালো লাগেনা,1.0
সেরা নাটক,1.0
ভাই এভাবে চলতে থাকলে সিনেমার মতো আমাদের গর্ব করার মতো নাটকের ও বদনাম হবে এবং মানুষ নাটকও পরিত্যাগ করবে,0.0
বালের নাটক বালের কাহিনী এগুলো বাস্তবতার সাথে কোন মিল নেই,0.0
কিইআমতের আলামত পরিচালক একটা মাদারচুদ অর জিবনের কাহিনি মনে হয়  এরকমি,0.0
গানটা খুব সুন্দর অনেক ইয়েবসাইটে খুজেছি কিন্তু পাচ্ছি না যদি কেউ গানটা পেয়ে থাকেন তাহলে প্লিজ লিংকটা দিবেন অগ্রীম ধন্যবাদ ,1.0
আহ মোশাররফ করিম দুঃখজনক এসব বস্তাপচা নাটক দেখে আমাদের নাটক শিল্পের প্রতি মন উঠে যায়,0.0
অনেক দিন পর ভালো একটি নাটক দেখলাম,1.0
ফালতু মোশাররফ করিম নিজেই নিজেকে সস্তা বানিয়ে ফেলেছেন,0.0
সেরা জুটি,1.0
আমি শিলিগুড়ি থেকে বলছি আমি অপূর্ব ভাই এর বিশাল বণধূ,1.0
সময় টা নষ্ট করলাম,0.0
ফাল্তু একটা নাটক,0.0
নিশো ভাই এর মানে অসাধারণ কিছু  ধন্যবাদ নিশো ভাই আর পরিচালক কে এত সুন্দর একটা নাটক উপহার দেওয়া জন্য নিশো ভাই এর কথা গুলো মন ছুয়ে গেছে ধন্যবাদ ,1.0
আবালের গুষ্টি,0.0
মাগির কতো বরো দধ,0.0
অসাধারণ,1.0
অনেক সুন্দর কাহিনী ভালো লাগে যখন এরকম অসাধারণ কিছু নাটক দেখিনাটক দেখে যদি চোখ থেকে পানি আশেতখন বুঝতে হবে কিছু একটা আছে এই  নাটকে,1.0
শেষের অভিনয়টা কিছুই বুজলাম না কে কারে মারল🤔🤔,0.0
তোর চৌদ্দ গুষ্টি ভালবাসবে,0.0
বহুদিন পর একটা অসাধারন নাটক দেখলাম,1.0
বাংলাদেশের নাটক সব চাইতে সেরা কারা কারা এক মত আছেন,1.0
ছাত্রী মেয়েটার ন্যাকামিটা খুবেই বাজে হইছে,0.0
অসাধারণ নাটক,1.0
খুব ভালো,1.0
সাউন্ড কোয়ালিটি খুবই খারাপ,0.0
মিল দেওয়াতে নাটকের মজা পাইনি,0.0
এক কথায় অসাধারণ,1.0
অনেক পরিবারে এমন ঘটনা ঘরতে দেখেছি খুব ভালো লাগছে ধন্যবাদ পরিচালক সহ সবাই কে,1.0
ছি ছি ছি এগুলো কি বাংলা নাটক,0.0
নাটকের মানহীন গল্প উপস্থাপন করা হয়েছে চ্যানেল কর্তৃপক্ষ উচিত সৃজনশীল পরিচালকদের  এবং নাট্যকার দের সুযোগ দেওয়া,0.0
দায়নি ফেমিলি আচোদা বাংগালি,0.0
